Date,Brand,Product,Manufacturing Unit,Production Volume (Units),Production Cost (INR),Raw Material Cost (INR),Labor Cost (INR),Machine Efficiency (%),Production Time (Hours),Defect Rate (%),Inventory Stock (Units),Inventory Turnover Ratio,Demand Forecast (Units),Supply Chain Cost (INR),On-Time Delivery (%),Customer Satisfaction (%),Quality Rating,Energy Consumption (kWh)
2022-03-05,Coca-Cola,Juices,Unit_6,912,12.44,2.89,1.5,79.77,18.6,0.74,11602,4.7,4782,1980.0,80.92,62.69,High,181.18
2022-03-05,Britannia,Chocolates,Unit_5,3910,10.02,8.22,3.69,92.11,14.83,3.56,17832,3.89,4649,3181.64,83.9,83.98,Low,257.75
2022-03-05,Nestle,Dairy,Unit_4,4592,14.86,2.96,3.52,93.56,6.45,4.76,19201,5.61,2722,1474.48,81.47,72.66,Medium,353.33
2022-03-05,Amul,Ice Cream,Unit_2,1882,7.73,2.85,4.12,98.02,8.06,0.88,17239,9.2,4327,2504.81,90.44,84.43,High,417.55
2022-03-05,PepsiCo,Chocolates,Unit_12,1623,10.91,2.23,3.99,82.04,11.02,1.97,16777,1.36,720,3322.05,97.52,72.11,Low,300.63
2022-03-06,PepsiCo,Dairy,Unit_3,4829,19.49,9.64,1.13,77.78,19.51,2.91,8807,4.48,4243,2182.16,84.88,64.37,Low,379.56
2022-03-06,Nestle,Snacks,Unit_6,4512,6.33,8.29,2.55,85.24,8.97,3.59,14311,9.87,2418,1931.5,81.0,72.27,Low,120.58
2022-03-06,Britannia,Ice Cream,Unit_14,2743,14.04,4.67,2.29,99.81,11.42,1.26,8502,3.23,2393,3153.69,85.04,92.83,Medium,186.33
2022-03-06,PepsiCo,Ice Cream,Unit_8,3089,6.36,5.01,4.89,97.06,13.41,2.92,12785,8.37,4394,3314.48,85.81,67.3,Medium,106.99
2022-03-06,Haldiram's,Chocolates,Unit_14,2278,7.35,2.48,4.1,78.52,10.33,4.68,14953,4.53,3046,1908.44,97.32,67.05,Medium,372.44
2022-03-06,Amul,Snacks,Unit_3,1629,14.07,3.26,3.83,75.9,15.51,1.79,19137,9.19,2054,3418.7,93.15,92.93,Medium,120.51
2022-03-06,Amul,Chocolates,Unit_16,1144,11.66,4.49,2.77,84.31,14.91,2.85,2861,6.73,4634,4295.02,82.97,70.33,Low,253.17
2022-03-06,PepsiCo,Beverages,Unit_15,4022,13.23,5.1,4.56,74.97,5.91,3.12,3181,9.04,1660,1009.45,85.79,73.29,Medium,148.18
2022-03-06,Parle,Dairy,Unit_7,2057,18.2,6.96,1.07,92.74,11.43,4.44,13717,6.71,900,4725.18,92.6,81.61,Low,106.74
2022-03-06,PepsiCo,Beverages,Unit_15,3273,17.26,4.8,1.91,71.1,16.72,1.55,17731,9.01,2382,802.97,81.07,76.95,Low,407.51
2022-03-06,Parle,Dairy,Unit_13,3285,18.32,9.64,3.78,76.74,14.6,4.36,1082,9.14,2789,2859.47,93.58,92.85,Low,406.02
2022-03-06,PepsiCo,Biscuits,Unit_6,2206,14.24,4.74,3.03,70.55,11.9,3.37,12428,3.7,2427,4562.28,97.49,83.1,Low,104.64
2022-03-06,Haldiram's,Juices,Unit_15,3101,12.34,9.53,3.14,76.8,15.95,3.58,17379,8.55,938,1650.95,97.34,88.6,High,174.67
2022-03-06,Coca-Cola,Ice Cream,Unit_17,4143,11.89,7.84,2.67,71.57,15.06,0.33,19408,8.56,2880,3635.18,81.18,88.34,Medium,286.31
2022-03-06,Amul,Chocolates,Unit_4,874,16.1,9.2,1.67,90.21,17.56,1.78,14235,7.35,1436,688.78,96.17,63.08,Medium,497.66
2022-03-06,PepsiCo,Biscuits,Unit_14,2112,12.82,7.63,1.66,87.11,5.76,0.59,1606,3.17,3707,2662.33,90.03,98.97,Low,146.35
2022-03-06,Haldiram's,Biscuits,Unit_15,954,6.59,6.55,2.18,76.42,13.03,2.81,6235,1.97,1664,3316.93,90.01,62.84,High,162.3
2022-03-06,Parle,Ice Cream,Unit_12,4797,7.13,6.07,2.87,76.15,14.9,4.19,6041,6.56,4800,2927.64,91.57,97.96,High,472.38
2022-03-06,Parle,Ice Cream,Unit_19,1975,10.36,4.33,4.3,78.74,15.13,2.05,1284,6.89,2858,1300.27,88.17,99.51,Low,209.63
2022-03-06,Amul,Dairy,Unit_10,1353,6.02,4.39,2.79,93.95,18.84,1.13,4826,9.73,2244,596.58,94.28,70.44,Low,411.68
2022-03-06,Nestle,Beverages,Unit_6,1223,8.59,3.79,4.59,74.52,11.17,1.52,10270,4.58,1415,2517.4,86.44,85.75,Medium,131.27
2022-03-06,PepsiCo,Snacks,Unit_9,1891,14.85,5.08,1.48,73.65,16.93,2.87,18877,7.5,1779,1312.35,94.94,62.13,High,376.32
2022-03-06,Britannia,Dairy,Unit_2,2887,5.19,3.02,2.09,85.24,16.79,3.84,5518,8.91,3102,2144.54,98.52,87.23,High,310.8
2022-03-06,Parle,Snacks,Unit_4,761,14.06,5.1,1.28,95.95,9.03,3.45,6816,8.19,2031,4282.73,82.56,67.49,Medium,246.94
2022-03-07,Coca-Cola,Biscuits,Unit_9,1042,16.59,8.67,3.04,76.72,9.02,4.71,6138,4.64,3222,2969.87,88.9,97.64,Medium,384.83
2022-03-07,Coca-Cola,Snacks,Unit_15,1050,7.55,8.96,1.36,73.19,19.14,4.42,9837,3.16,4477,867.77,80.37,86.2,Low,381.67
2022-03-07,Parle,Beverages,Unit_13,4297,7.71,7.14,4.18,84.75,9.87,0.52,2570,1.29,2545,3728.1,88.81,90.61,Medium,288.34
2022-03-07,Nestle,Dairy,Unit_20,1137,5.43,4.05,1.16,91.96,11.22,3.52,1511,7.82,2520,2525.03,88.74,97.83,Low,468.49
2022-03-07,Nestle,Ice Cream,Unit_8,664,12.69,3.92,2.9,88.55,14.06,1.97,3814,4.46,1640,682.48,94.53,94.31,High,302.21
2022-03-07,Haldiram's,Beverages,Unit_19,3305,14.82,4.22,2.68,82.54,9.75,1.68,7199,5.52,3328,3747.53,87.09,78.7,Low,365.91
2022-03-07,Coca-Cola,Juices,Unit_19,1120,11.85,6.0,1.81,71.21,14.93,2.38,6411,9.84,2252,4485.92,97.73,66.83,Low,409.93
2022-03-07,Haldiram's,Beverages,Unit_16,1723,10.84,9.81,3.35,79.02,9.34,3.83,8156,1.04,2104,3859.59,87.98,72.92,Low,337.36
2022-03-07,Coca-Cola,Juices,Unit_11,3842,11.82,2.87,2.54,97.58,12.91,2.08,18934,3.48,2197,4901.54,91.05,83.55,High,183.24
2022-03-07,PepsiCo,Dairy,Unit_10,550,16.72,6.0,1.79,76.69,13.39,4.11,7948,9.83,1846,1208.27,85.19,89.84,High,143.56
2022-03-07,PepsiCo,Ice Cream,Unit_8,988,5.5,7.46,4.31,88.42,17.01,2.36,8349,5.39,3325,3040.56,83.12,70.2,Low,152.09
2022-03-07,Britannia,Beverages,Unit_1,1164,16.76,3.97,3.64,97.22,17.9,0.3,19128,9.44,4755,915.65,93.15,77.93,High,187.69
2022-03-07,PepsiCo,Juices,Unit_10,1746,15.0,9.75,1.05,84.64,15.22,3.15,5047,8.66,2413,4890.58,88.42,74.3,Medium,225.14
2022-03-07,Britannia,Ice Cream,Unit_18,3210,8.62,4.79,3.01,83.39,9.05,3.9,3711,7.4,753,1467.85,92.35,78.88,High,437.01
2022-03-07,PepsiCo,Chocolates,Unit_3,4861,12.87,9.46,2.09,74.23,11.96,1.58,7617,7.42,4820,4738.99,92.17,73.22,High,242.82
2022-03-07,Amul,Chocolates,Unit_11,4668,5.74,6.78,4.66,99.42,13.44,1.11,5690,1.04,4922,2561.08,89.79,66.33,Medium,151.86
2022-03-07,PepsiCo,Chocolates,Unit_18,4452,10.69,2.03,3.9,75.3,9.47,3.2,14378,3.67,1152,4070.88,86.04,79.45,Medium,178.8
2022-03-07,Haldiram's,Snacks,Unit_3,3091,7.61,4.49,3.45,84.44,19.1,1.76,3567,4.97,1945,4795.72,83.94,97.99,Medium,334.11
2022-03-07,Parle,Beverages,Unit_8,1380,5.33,2.17,1.36,75.14,6.63,4.53,1557,5.68,2814,1547.84,83.65,64.26,Medium,237.65
2022-03-07,Haldiram's,Dairy,Unit_14,934,10.36,5.05,4.72,80.45,17.5,3.83,14799,4.99,3586,4171.04,90.74,93.42,Medium,254.11
2022-03-07,Parle,Dairy,Unit_6,2484,15.89,9.46,1.58,96.52,11.4,2.31,1732,4.93,2596,4502.37,85.93,89.4,Low,242.91
2022-03-07,Nestle,Snacks,Unit_15,4952,18.82,8.23,2.8,89.3,19.18,4.88,14394,8.76,4661,2982.16,91.18,73.17,Low,291.93
2022-03-07,Haldiram's,Dairy,Unit_14,4613,14.93,6.96,3.72,70.3,12.99,1.72,9366,9.73,4185,3534.24,95.93,65.51,Low,320.68
2022-03-07,Nestle,Juices,Unit_7,4370,11.03,6.31,2.98,99.0,15.95,2.22,9339,8.62,4521,2494.86,90.0,97.29,Medium,327.81
2022-03-08,Britannia,Chocolates,Unit_10,3122,19.99,4.98,4.53,93.52,16.02,3.24,18365,7.22,2315,2413.83,89.42,75.17,High,330.47
2022-03-08,Britannia,Beverages,Unit_15,2292,9.24,3.69,4.34,99.93,15.47,2.56,10628,7.63,4425,1217.39,99.0,77.39,Medium,149.36
2022-03-08,Amul,Dairy,Unit_10,3298,7.81,2.5,1.54,92.89,5.74,1.72,9876,7.64,2458,3600.35,87.52,72.79,Medium,419.38
2022-03-08,PepsiCo,Dairy,Unit_17,4012,11.96,3.52,3.47,92.95,14.33,2.09,8178,8.2,4656,1251.02,80.59,93.92,High,134.96
2022-03-08,Haldiram's,Biscuits,Unit_19,1993,12.57,4.81,1.21,90.98,18.42,4.32,18920,1.5,4855,1318.66,97.63,69.09,High,219.32
2022-03-08,Nestle,Biscuits,Unit_17,3179,10.32,6.16,3.88,82.7,17.65,0.99,3769,1.67,4005,2762.31,84.49,90.39,Low,485.91
2022-03-08,Parle,Biscuits,Unit_12,2125,15.43,3.64,3.94,79.45,18.72,1.59,14568,1.88,3425,2561.7,91.95,69.83,Medium,495.86
2022-03-08,Britannia,Beverages,Unit_15,2919,7.76,9.79,2.38,85.76,11.67,0.99,14764,9.2,4008,3422.57,98.75,73.66,Low,287.05
2022-03-08,PepsiCo,Chocolates,Unit_12,3517,12.66,2.61,4.15,75.35,11.82,2.56,18462,6.6,1143,2849.78,94.9,96.99,Low,337.29
2022-03-08,Britannia,Ice Cream,Unit_9,2347,12.5,2.76,3.61,91.67,17.12,0.8,7107,5.1,3203,1918.6,96.68,84.69,Medium,496.65
2022-03-08,Parle,Chocolates,Unit_5,3746,17.36,7.46,3.02,99.92,9.55,0.86,17919,7.93,2461,760.38,88.47,87.69,Medium,301.64
2022-03-08,PepsiCo,Chocolates,Unit_4,2038,18.9,8.04,2.82,88.03,16.48,4.17,7372,2.98,1239,3149.52,89.18,85.04,Medium,345.06
2022-03-08,PepsiCo,Beverages,Unit_12,1816,14.95,9.78,1.44,95.69,12.57,3.52,18693,8.25,2403,2700.05,81.19,67.13,High,213.45
2022-03-08,Nestle,Juices,Unit_16,2219,9.58,6.24,3.12,75.17,8.96,0.94,10382,4.11,578,863.99,93.37,86.62,Medium,304.79
2022-03-08,Nestle,Juices,Unit_9,2450,15.34,3.33,1.62,94.75,14.66,1.93,1039,6.71,4604,3645.78,94.89,81.56,High,126.36
2022-03-08,Haldiram's,Beverages,Unit_3,723,8.77,9.5,3.62,97.22,9.44,4.58,11479,9.89,4550,1646.85,90.59,93.09,Low,437.94
2022-03-08,Haldiram's,Biscuits,Unit_3,2526,19.5,9.84,3.38,95.17,15.08,4.35,5180,1.65,2325,654.42,97.06,99.53,Medium,358.36
2022-03-08,Coca-Cola,Dairy,Unit_18,2047,17.34,9.39,2.16,88.82,13.54,3.27,15614,9.62,2710,549.75,82.19,84.93,High,106.77
2022-03-08,Coca-Cola,Snacks,Unit_17,4278,11.47,8.97,1.99,97.79,15.83,1.42,5849,7.91,2703,2928.5,81.76,73.37,High,103.57
2022-03-08,Amul,Snacks,Unit_10,4223,16.77,2.62,2.9,98.84,13.99,1.87,3818,5.01,3407,4677.63,82.58,94.32,Low,423.19
2022-03-08,Britannia,Ice Cream,Unit_2,2023,11.13,8.84,3.05,94.46,16.37,3.27,11381,1.92,3865,4314.94,97.26,93.8,Low,470.86
2022-03-08,Haldiram's,Dairy,Unit_11,3203,6.12,9.63,4.19,86.41,19.94,2.8,15878,2.01,1922,957.44,83.74,94.21,High,251.2
2022-03-08,Nestle,Ice Cream,Unit_3,2472,15.6,6.42,2.22,95.06,12.02,2.8,17901,6.24,2427,1932.17,81.45,74.34,Medium,155.01
2022-03-08,Parle,Biscuits,Unit_2,1116,11.07,8.18,2.61,81.16,13.97,2.12,12722,5.73,3804,1908.92,95.87,76.53,Low,445.07
2022-03-09,Nestle,Ice Cream,Unit_9,4669,18.95,7.29,2.37,80.4,6.53,0.45,7838,5.82,2524,4336.71,93.96,90.79,Medium,309.7
2022-03-09,Britannia,Dairy,Unit_19,3121,9.6,4.3,2.58,80.44,19.26,0.61,19667,3.5,4491,4100.71,83.19,76.91,High,170.67
2022-03-09,Coca-Cola,Dairy,Unit_2,4741,17.65,6.7,3.27,75.98,13.95,4.18,19037,1.83,1661,4845.27,95.27,79.59,Medium,494.57
2022-03-09,Nestle,Snacks,Unit_19,2593,15.21,9.11,3.23,88.69,6.54,4.42,17657,8.19,4612,2842.82,85.89,60.39,Low,228.57
2022-03-09,Amul,Juices,Unit_2,2264,17.8,5.97,2.45,89.84,11.0,4.47,4271,3.0,4606,562.49,80.59,95.6,Low,334.31
2022-03-09,Britannia,Biscuits,Unit_15,3676,9.38,6.72,3.41,95.79,6.22,2.37,11896,6.81,3228,4559.71,80.7,79.02,Medium,138.3
2022-03-09,Coca-Cola,Beverages,Unit_3,1632,11.92,6.25,3.46,90.84,12.46,4.68,1605,4.28,4854,660.69,82.42,96.1,High,264.49
2022-03-09,Parle,Ice Cream,Unit_5,4716,17.35,4.26,3.11,93.4,9.16,4.19,16339,6.71,4939,4242.56,96.39,98.85,Low,340.5
2022-03-09,Coca-Cola,Snacks,Unit_11,4070,14.66,7.15,2.81,90.66,10.1,1.92,10028,7.92,1043,2834.42,87.95,66.34,Medium,491.84
2022-03-09,PepsiCo,Ice Cream,Unit_7,1566,10.4,6.08,1.31,90.91,6.04,1.12,14509,2.75,4965,4845.73,87.55,63.4,Low,270.97
2022-03-09,Amul,Ice Cream,Unit_6,2646,12.68,3.86,3.17,80.22,16.44,3.64,17372,1.12,2722,1592.18,95.87,86.75,Medium,161.96
2022-03-09,Britannia,Beverages,Unit_14,1205,19.94,9.16,3.85,98.98,17.62,3.63,13369,3.51,3140,2807.0,92.93,70.17,Low,319.54
2022-03-09,Parle,Biscuits,Unit_1,2858,16.13,9.6,1.86,89.16,7.1,4.45,9633,9.65,2661,560.94,97.65,77.61,High,239.74
2022-03-09,Amul,Dairy,Unit_17,4034,14.22,2.44,4.11,87.61,16.26,0.25,17259,2.65,3511,3203.85,80.5,60.32,Medium,347.99
2022-03-09,Coca-Cola,Chocolates,Unit_17,4312,17.42,6.98,3.35,95.42,6.93,1.76,16648,5.26,3134,803.83,83.32,77.13,Medium,413.33
2022-03-09,Amul,Ice Cream,Unit_14,2970,11.63,5.32,1.95,82.63,6.28,0.17,5533,4.36,959,794.13,97.08,98.84,High,103.2
2022-03-09,Britannia,Chocolates,Unit_10,4567,19.25,6.21,1.65,72.89,6.71,1.05,16690,3.79,685,3779.11,99.21,63.87,Medium,240.16
2022-03-09,Haldiram's,Biscuits,Unit_8,3960,13.28,4.99,1.98,77.2,5.48,2.0,13690,7.58,1237,1333.55,85.9,87.49,High,244.7
2022-03-09,Amul,Chocolates,Unit_8,4268,9.9,5.79,4.04,94.24,10.64,0.62,18337,7.5,530,4900.34,80.73,81.32,Medium,304.47
2022-03-09,PepsiCo,Ice Cream,Unit_14,2434,6.29,4.59,2.0,91.95,19.29,4.11,5802,8.02,2306,2283.61,80.22,93.98,High,393.72
2022-03-09,Amul,Beverages,Unit_7,2819,10.64,2.94,3.73,73.52,18.49,1.01,5969,4.05,1090,2675.44,80.58,86.06,High,316.54
2022-03-09,Coca-Cola,Chocolates,Unit_6,3372,13.53,4.42,3.18,72.09,9.98,2.06,16849,4.23,1682,1916.06,93.18,60.01,Medium,319.64
2022-03-09,Coca-Cola,Biscuits,Unit_4,709,15.55,7.36,3.19,88.66,16.92,4.01,17866,5.93,4474,1753.0,85.03,86.92,High,332.55
2022-03-09,Parle,Biscuits,Unit_1,3307,18.13,2.4,4.41,98.16,17.37,0.58,13020,1.03,1489,4434.12,87.41,92.72,Medium,340.2
2022-03-10,Coca-Cola,Juices,Unit_15,4754,19.16,5.06,4.5,75.25,7.28,3.1,13810,9.58,4851,4519.22,87.42,89.27,High,121.87
2022-03-10,Nestle,Juices,Unit_15,4462,6.54,2.34,3.15,86.47,8.44,4.7,9493,3.11,4586,1439.21,84.96,89.25,High,386.94
2022-03-10,Britannia,Beverages,Unit_1,2453,14.01,4.85,1.26,94.36,15.36,2.27,12355,2.55,2240,677.57,83.6,95.29,Medium,155.01
2022-03-10,Britannia,Chocolates,Unit_20,2890,15.0,2.7,1.64,85.86,8.96,1.2,6190,6.74,829,1748.77,90.45,84.27,Medium,156.46
2022-03-10,Haldiram's,Chocolates,Unit_3,4025,7.58,4.72,4.79,80.53,19.07,4.72,15413,8.63,4772,4211.58,81.37,86.76,Medium,395.81
2022-03-10,Haldiram's,Juices,Unit_5,3714,13.18,8.7,1.54,93.72,8.46,0.27,15676,6.78,3574,2740.78,89.16,81.44,High,348.4
2022-03-10,Britannia,Dairy,Unit_5,2944,10.02,6.91,4.34,93.14,16.99,1.56,16621,6.66,4745,4049.36,88.39,97.83,High,146.76
2022-03-10,PepsiCo,Snacks,Unit_4,3083,6.16,7.46,3.16,94.91,16.37,4.09,18891,5.4,2770,4248.95,85.81,86.91,Medium,460.06
2022-03-10,Haldiram's,Biscuits,Unit_17,640,5.99,6.03,1.46,98.35,12.56,0.77,7076,9.02,4590,4187.05,81.64,71.29,Medium,420.69
2022-03-10,Parle,Dairy,Unit_20,4835,16.39,9.38,4.68,74.52,8.95,0.42,3875,9.7,4060,3122.2,93.14,93.78,Medium,315.26
2022-03-10,Coca-Cola,Biscuits,Unit_14,791,14.23,6.33,4.71,80.22,5.51,2.29,16518,6.36,904,1267.46,92.04,73.5,High,305.15
2022-03-10,Britannia,Dairy,Unit_8,3364,15.73,2.83,3.46,99.58,17.43,1.66,19545,1.71,4688,3342.28,94.84,94.46,Medium,369.69
2022-03-10,Haldiram's,Juices,Unit_2,4677,15.28,9.46,2.56,87.84,10.67,3.99,11920,1.91,1299,1865.62,90.64,66.84,Medium,214.62
2022-03-10,Britannia,Juices,Unit_8,3107,7.01,3.06,3.43,90.1,10.1,1.69,18443,4.77,531,3939.17,90.22,67.59,High,377.56
2022-03-10,Nestle,Snacks,Unit_1,4436,7.27,9.99,3.51,96.52,5.67,3.35,4256,5.43,1000,1421.15,84.88,80.99,High,427.56
2022-03-10,Amul,Dairy,Unit_4,3417,8.79,5.48,3.49,90.73,7.27,2.8,7690,6.77,3111,3408.02,87.96,74.72,High,131.43
2022-03-10,Coca-Cola,Biscuits,Unit_19,2718,10.99,2.59,3.93,90.5,10.52,2.98,1049,9.94,1771,885.77,90.72,98.02,High,146.58
2022-03-10,Britannia,Chocolates,Unit_5,2297,19.09,8.91,1.27,73.14,15.36,2.56,5974,7.37,4841,4108.95,81.47,88.55,Low,274.6
2022-03-10,Amul,Biscuits,Unit_5,1476,15.11,2.74,1.41,85.21,8.11,0.68,7964,8.86,4486,1916.38,94.08,79.57,Medium,369.94
2022-03-10,Haldiram's,Ice Cream,Unit_20,1079,8.83,3.4,2.13,90.2,7.45,0.31,14762,9.48,614,4876.85,98.63,98.72,Medium,232.61
2022-03-10,Amul,Juices,Unit_19,3073,5.84,5.34,2.4,94.22,8.93,2.72,19677,2.76,3147,2570.24,99.39,97.65,High,265.8
2022-03-10,Coca-Cola,Beverages,Unit_12,3089,15.26,7.41,3.55,82.4,9.25,3.25,10939,4.0,4879,1657.29,96.24,68.75,Low,273.91
2022-03-10,Britannia,Beverages,Unit_20,3783,14.38,2.97,1.69,73.71,11.15,3.63,15259,7.19,3996,1065.29,96.19,69.58,High,272.96
2022-03-10,Nestle,Juices,Unit_1,2299,15.14,6.98,3.16,80.97,10.41,3.61,16508,6.88,3768,4940.83,83.31,92.21,Low,398.72
2022-03-11,PepsiCo,Ice Cream,Unit_7,1961,8.92,8.24,1.74,82.89,6.11,3.7,19589,4.81,1084,2298.78,86.55,77.29,Low,242.56
2022-03-11,Haldiram's,Beverages,Unit_17,4917,12.75,2.99,2.42,92.53,14.27,0.1,3812,8.69,4155,3502.08,95.23,66.02,Low,459.68
2022-03-11,Britannia,Juices,Unit_2,4568,10.43,7.18,4.74,70.59,6.96,1.12,16934,9.83,4142,1944.63,80.75,96.77,Medium,193.71
2022-03-11,Coca-Cola,Beverages,Unit_11,3447,17.27,9.67,4.58,81.57,18.03,3.65,14353,4.59,3422,1516.52,81.65,89.62,Low,472.73
2022-03-11,Haldiram's,Juices,Unit_7,1213,6.04,9.74,4.81,83.44,17.89,0.62,15201,4.13,4677,3071.2,92.77,75.18,High,149.98
2022-03-11,Parle,Snacks,Unit_17,2923,9.13,3.29,3.37,86.5,6.09,0.93,7749,3.59,3333,2280.73,88.69,99.51,Low,311.77
2022-03-11,Amul,Chocolates,Unit_3,2390,14.04,8.08,3.01,99.1,11.2,3.3,5869,6.05,1949,2664.73,93.66,84.76,Medium,187.65
2022-03-11,PepsiCo,Chocolates,Unit_6,4067,8.08,8.77,4.4,92.22,12.15,4.04,19310,6.51,3185,3674.38,85.13,80.6,High,432.88
2022-03-11,Coca-Cola,Biscuits,Unit_11,2178,15.09,9.11,1.32,76.67,19.94,0.81,5990,2.64,2549,1771.2,81.62,80.92,Low,456.32
2022-03-11,Parle,Ice Cream,Unit_18,2647,7.05,4.59,4.91,89.01,8.77,2.75,11731,3.54,965,1193.97,96.59,73.75,Medium,277.9
2022-03-11,Britannia,Juices,Unit_18,1417,5.34,4.16,2.85,80.38,14.54,0.91,17787,2.09,1587,2918.88,95.65,72.84,High,248.0
2022-03-11,Nestle,Dairy,Unit_10,2766,17.95,2.38,3.7,94.34,11.86,1.04,1458,9.14,2667,1022.31,89.25,98.84,High,120.41
2022-03-11,Haldiram's,Biscuits,Unit_5,3024,10.0,5.2,3.91,75.13,16.53,2.41,17517,6.84,812,3541.52,97.61,94.88,High,282.56
2022-03-11,Amul,Biscuits,Unit_15,2306,7.35,2.99,3.52,74.34,8.73,3.37,14011,6.0,860,3160.61,84.46,71.33,Low,100.15
2022-03-11,Haldiram's,Juices,Unit_20,4551,7.59,8.29,4.57,73.04,15.21,2.87,5785,9.31,772,1554.55,87.34,97.11,High,319.49
2022-03-11,PepsiCo,Juices,Unit_4,1059,18.29,3.14,2.15,86.32,6.95,0.46,8389,9.84,2781,1712.18,84.85,63.27,Medium,443.29
2022-03-11,Britannia,Biscuits,Unit_1,1128,14.82,8.55,3.13,73.7,5.23,1.43,13367,1.22,3716,1337.97,81.73,71.51,High,450.5
2022-03-11,Haldiram's,Biscuits,Unit_15,3566,19.35,2.86,2.72,71.25,5.27,4.69,19638,8.11,1262,4512.5,93.06,96.67,Medium,249.86
2022-03-11,Amul,Chocolates,Unit_17,2411,17.0,5.84,3.82,79.97,12.39,3.14,5021,5.85,1273,1932.65,91.83,62.47,Low,329.14
2022-03-11,Britannia,Dairy,Unit_19,4262,16.51,5.08,2.58,93.94,16.56,3.29,8271,1.02,2388,4598.15,88.89,97.04,Medium,230.95
2022-03-11,Haldiram's,Biscuits,Unit_14,4051,12.5,6.81,4.57,74.68,13.66,1.06,6235,4.87,2432,601.0,97.2,74.21,Low,470.03
2022-03-11,Nestle,Chocolates,Unit_19,2308,17.31,6.15,2.96,80.74,5.54,4.79,16075,7.96,4429,2266.92,89.87,67.21,Medium,359.39
2022-03-11,Coca-Cola,Biscuits,Unit_18,2886,11.19,6.79,3.14,83.07,13.28,1.03,19000,7.69,3014,4572.31,89.01,66.48,High,293.5
2022-03-11,Britannia,Beverages,Unit_2,2395,17.41,2.01,2.97,96.28,6.7,1.26,9639,9.35,2783,3724.4,93.63,76.55,High,148.54
2022-03-12,Coca-Cola,Biscuits,Unit_6,4430,16.37,3.02,3.49,84.29,19.48,2.55,5757,6.59,2480,772.57,80.76,88.04,High,156.16
2022-03-12,Britannia,Juices,Unit_13,1506,15.18,6.14,3.04,85.36,10.29,2.48,14960,3.04,3149,2727.26,85.57,85.84,High,442.98
2022-03-12,Nestle,Ice Cream,Unit_17,548,9.95,3.84,4.75,77.64,12.55,0.16,13320,7.54,2249,1073.51,96.67,72.78,High,144.16
2022-03-12,Coca-Cola,Ice Cream,Unit_6,2350,14.46,2.61,1.52,90.06,10.08,3.72,15010,9.83,3273,1138.23,82.6,77.08,Low,153.99
2022-03-12,Parle,Biscuits,Unit_5,2429,12.6,3.74,1.05,70.77,12.01,0.48,14202,8.97,1993,2497.17,96.38,70.2,High,207.28
2022-03-12,Amul,Snacks,Unit_7,2632,11.92,8.24,3.09,98.93,19.38,0.27,8675,1.02,3202,4438.81,92.69,76.29,Low,167.68
2022-03-12,Parle,Beverages,Unit_1,2025,19.85,6.33,4.06,84.94,8.91,2.54,8828,4.89,793,2139.13,96.02,67.76,Low,429.44
2022-03-12,Haldiram's,Dairy,Unit_13,828,12.57,3.52,3.59,71.85,15.77,0.24,6289,2.87,2731,3580.8,81.56,90.37,Low,102.5
2022-03-12,Nestle,Biscuits,Unit_19,3157,5.48,2.13,4.85,86.78,16.33,1.0,1010,5.44,1285,1522.75,94.11,75.55,Medium,439.23
2022-03-12,Parle,Dairy,Unit_1,1087,14.4,4.86,1.73,85.42,7.86,1.95,4825,4.53,2710,2314.72,95.57,74.19,Low,270.28
2022-03-12,Britannia,Beverages,Unit_13,3705,15.92,4.86,3.78,77.22,15.94,3.02,15723,6.06,981,1019.45,80.5,84.99,Low,387.22
2022-03-12,Haldiram's,Biscuits,Unit_11,2098,18.28,7.88,4.26,76.26,14.72,3.91,17648,8.43,800,1106.18,94.55,70.51,Low,254.07
2022-03-12,Haldiram's,Snacks,Unit_7,4351,14.49,9.36,4.65,78.12,9.37,1.45,19151,6.78,2931,3439.97,89.76,76.51,Medium,466.55
2022-03-12,Parle,Chocolates,Unit_20,2972,5.29,4.98,3.11,73.89,12.84,2.36,11409,4.22,1680,552.69,80.26,63.39,Medium,202.04
2022-03-12,Parle,Snacks,Unit_3,3317,6.8,7.51,2.45,85.94,13.85,4.77,12433,4.04,4062,3711.92,92.94,65.51,High,188.33
2022-03-12,Nestle,Juices,Unit_1,1908,7.42,7.08,4.82,96.37,17.55,1.95,2152,2.89,824,4389.14,84.83,80.91,Medium,415.61
2022-03-12,Amul,Snacks,Unit_8,1511,8.17,5.38,4.17,97.69,6.87,3.55,8885,5.64,3153,1642.63,99.3,99.94,Medium,103.67
2022-03-12,Parle,Chocolates,Unit_17,4898,17.0,2.53,2.88,98.59,19.58,1.36,14409,8.3,4767,4432.85,99.56,82.35,Low,123.29
2022-03-12,PepsiCo,Juices,Unit_13,4544,9.65,5.79,3.6,88.01,16.54,3.12,5577,1.01,2133,3795.71,80.06,78.27,Low,204.93
2022-03-12,Parle,Chocolates,Unit_14,1829,9.69,4.83,2.11,88.65,13.02,4.02,16376,7.38,4133,4206.61,82.69,69.28,Low,414.21
2022-03-12,Coca-Cola,Ice Cream,Unit_5,3104,16.33,6.4,3.46,79.32,16.64,4.57,10826,5.56,1757,4041.06,90.29,74.7,Medium,182.39
